group,monitor,aqs_site_id,county,row_type,row,health_effects,period,period_start,period_end,value_shown,statistic,mean_ppb,screening_level_ppb,n_samples,n_weeks,coverage,coverage_flag,design_value,naaqs,dv_method,data_cutoff
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-09-12,2026-09-12,1.3922,mean ÷ screening level,0.15688,0.11269,7256.0,,0.82605,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,Benzene,Cancer,Sep 2026,2026-09-01,2026-09-30,1.3305,mean of weekly means ÷ screening level,0.14993,0.11269,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,4.6395,sum of pollutant ratios,,,,,0.82854,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,4.8174,sum of pollutant ratios,,,,,0.76765,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,5.0621,sum of pollutant ratios,,,,,0.7718,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-09-12,3.7843,sum of pollutant ratios,,,,,0.81552,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,total,Total (Combined),,Last 365 Days,2025-09-12,2026-09-12,4.4503,sum of pollutant ratios,,,,,0.82605,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,total,Total (Combined),,Sep 2026,2026-09-01,2026-09-30,4.6987,sum of pollutant ratios,,,,,0.89881,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,5.8417,mean ÷ screening level,0.24821,0.04249,7539.0,,0.86062,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,6.1123,mean ÷ screening level,0.25972,0.04249,7410.0,,0.84358,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,7.2183,mean ÷ screening level,0.30671,0.04249,7177.0,,0.81929,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,6.7687,mean ÷ screening level,0.2876,0.04249,4944.0,,0.80784,,,,,2026-09-12
Cancer Risk,Galena Park A1667 [53] [72] POC 6,48-201-0057,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,7.1671,mean ÷ screening level,0.30453,0.04249,7139.0,,0.81273,,,,,2026-09-12
